"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"@115911 @TMobileHelp I want to upgrade to the 8 why can't we upgrade with the SE it came out after the 6? | @391292 Hi there, Nahendra! Let's see what we can do to get you a deal on that awesome new iPhone 8. DM me here: https://t.co/HuQi0EoCEV. *JasonBurr"
@115714 really bought my iphone8 a week ago and it’s not working. U telling me I don’t have insurance #sprint #iPhone8 | @608874 What are the issues being experienced with your device? Have you tried returning to the point of sale for further assistance? - DW
@TMobileHelp just had my phone replaced and the “new” iPhone 6s+ sometimes isn’t placing calls. People can’t hear me talking etc. help 🙃 thx | @609467 Oh gosh! Let's make sure everyone hears you #LoudandClear! Send me a DM and I'll check things out. https://t.co/6NxKsl5RJm Thx! *JoshHenegar
"@115913 Mr. Uncarrier is it a way u could get T-Mo 2 reassess my acct early so iPhone X is on my radar without spending my rent first?🙏🏾 | @609598 @115913 Hey! Let's check into your options &amp; pricing. DM us, so we can take care of you! https://t.co/ZxXpYRedaq *NicholasTomchik"
@115911 @115858 my service has been lagging since the unveiling of the new iPhone. Please advise | @609891 Connectivity is important to me as well. Let's take a look into what may be causing this JR. Send us a DM for assistance. *JasmineS
I hate @115714 so much. How is it gonna take 2 weeks to get my new iPhone. When every other store has them 🖕 | @610197 Hi! We're excited about the new iPhones just as u! These devices are in high demand but u can keep updated on https://t.co/RDgqxv7W9w. -NL
"@115913 My wife is on her second iPhone 7 plus and is still having problems with it. Can you help us with this? | @610491 @115913 Let's dive in and explore all our options, Tyler. Please send a DM our way. https://t.co/lH0SH5fy2m *MikeRice"
"If you are with #sprint and are eligible for an upgrade or have the ""iPhone for life plan,"" the iPhone X will be around $41/month | @603918 The pre-orders for the iPhone X start on October 27th! Bet you are as exited as we are! Check out more: https://t.co/4ZMNSSFGc4 -MH"
"If you are with #sprint and are eligible for an upgrade or have the ""iPhone for life plan,"" the iPhone X will be around $41/month | @603918 Stay tuned since we will be providing updates as the pre order date comes. We've got great deals in the works, more to come soon! -MH"
"@TMobileHelp do you have to use digits with the series 3??? Can it just use our iPhone number?? | @455877 That Series 3 is awesome, I'd love to snag you all the facts! DM me, and we can get started! https://t.co/GXcACu8dxr *JustinPhillips"
"Gonna get Babe and I the #iPhone8Plus from @115911 this week. Heard good things about the service and the pricing seems reasonable. | @369573 Sounds like a good idea to me, my friend! DM us here if you've got any questions or need some help. We've got your back! *BlakeT"
@119511 @VerizonSupport I need to transfer 6 lines asap from TMobile. I'm not getting help from them for a new iPhone 8. @115913. Deals? | @149616 @115913 We are here to help! I see you're working with us in DM. I will meet you back in there now. Thank you. *AshHebron
Hello @115714 - I switched my service over to you about six wks ago &amp; got a @1647 #S8. Is it to late to switch to @115858 #iPhone8? | @612830 Hey John. Unfortunately  6 months is too long to make this switch happen. DM us if you need more assistance please. Thank you. A L
"So in Telluride, CO we have 2 @TMobileHelp iPhones that have zero service, but my @VerizonSupport support iPad Pro? Full bars! Sad T-Mobile. | @339956 Yikes! Sounds like you need a signal superhero here to save the day! Shoot me a DM, I'm your guy! https://t.co/oIBK3mlmoz *DannyHarvey"
Hi @115911 your Android app is the slowest thing I have ever used. I can login/pay my bill in chrome while the app tries to load my bill. | @612986 I want to make sure you're able to pay your bill! You can pay online or DM us here and we'll take a closer look at the app! *ValerieP
Shout out to @TMobileHelp for helping me get a new #iPhone8 with $0 DOWN! Stoked to get it in the mail 🙏 #Blessed #Uncarrier #WeWontStop | @325021 Woohoo! We're super excited to get that out to you - thanks for being such an awesome part of our #MagentaFamily! &lt;3 *DanielleGibbs
"@TMobileHelp Ever since last week's app update on Android, I can't sign into the T-Mobile Tuesday app. ""You're not on T-Mobile"" message. | @613312 It's CRUCIAL that you're getting this T-Mobile Tuesday access, especially for tomorrow! DM me here: https://t.co/EoqAVShpFT *AustinWebb"
"@115714 why does my iPhone 7 Plus keep doing this https://t.co/JZatZBDDO2 | @296016 Hi there! Thanks 4 reaching out. We'd like 2 look into this 4 u. Please send us a Direct Message, so that we can further assist you. - RA"
"@115913 hey john ! Do you use iphone ? If yes, are you happy with ios 11 ? I am about to switch note 8... so angry to iphone. What u thk | @342838 @115913 Sounds like you have some iPhone concerns, how can we help!? Let me know what's going on in DM https://t.co/PUCbqyZK4U *RachaelTansey"
@115913 So T-Mobile can't get my new iPhone up and running after almost 3 days? How is this possible? @229580 @VerizonSupport | @149616 @115913 Ensuring you're able to use your phone and services is our top priority. Our engineers are working hard for you. See you in DM. *EricPayne
@115913  college student doing a double major in world languages and film it would a great help to get the new iPhone 8... help me? | @210878 @115913 We would love to look into all available options to get you into the phone you want. We see your DM and will be replying ASAP. *ShelbyMartin
@115913 any news on iPhone x JOD pricing? | @405063 @115913 No JOD pricing to share at this time for the iPhone X. We'll have it available closer to launch. Stay tuned! *DanKing
@155347 will you plueeze send me a new phone? The people @115911 pushed me into an #iPhone and I've been miserable for 18 months. | @615193 Hey there. I definitely want you to have the phone you want. Send me a DM and we'll take a look at some of your options. *ChaseTC
"@sprintcare tried 2 get iPhone8 at Rio Salado Store,Tempe, but was denied cc approval bc I didnt know yr of a car I own 30 yrs ago. #:( | @180702 Hey! It's not good to see you could not purchase your device. Please DM us with more details to review this. - GS https://t.co/rMApsV8PQY"
"@sprintcare I have insurance on my iphone &amp; my screen cracked, I live in Denver, CO. Can I take it to any sprint store? | @615544 Thanks for bringing your concern to us. Please, send us a DM with more details so we can assist you further. -DP https://t.co/rMApsV8PQY"
"Hey @115913 any @115911 promo gonna be available for the IPhone 10 on pre-order night ? | @615860 @115913 We're super pumped for the iPhone X as well! Checkout our sweet iPhone promos, here: https://t.co/LfKlxD4wcr *DanKing"
@115911 any deals with trading my iPhone 6s for the iPhone X? | @616062 Great question! We do have an amazing iPhone promotion for that trade-in! DM me and I'll help! https://t.co/4lHu3HURzy *TylerRoquemore
@115913 @115911 will the iPhone x be available for jump on demand? | @618270 @115913 Stay tuned for more details as we get closer to the pre-order launch on 10/27! *AlissaFast
@115911 @115913 any word on iPhone X JOD Pricing | @292528 @115913 Hi! Stay tuned as we get closer to the pre-order launch on 10/27! *AlissaFast
@115911 how much a month would i be paying for the iPhone x with unlimited everything | @618819 Hey there! Send over a DM and let's take a look at your options! We want to hook you up! *BrookeK
"@115714 y’all the worst phone kompany my iPhone might as well b a dam iPod | @619127 We'd like to get a better understanding of your concerns. Please send us a Direct Message, so that we can further assist you. -LC https://t.co/rMApsV8PQY"
@115714 when can we pre order the iphone x? | @619290 Thx for posting to us today. iPhone X. You’ve never seen anything like it. It’s never seen anything like you. Pre-order 10/27 -SR
"@115714 if my iPhone X screen cracked should I come see you about getting my money back or @115858 Cause I ain’t paying mucho $$ for something that broke in four days | @619689 U can contact them by dialing 800-584-3666.They are operational on Mon - Fri: 7:00 AM -11:00 PM Sat - Sun: 
 8:00 AM - 9:00 PM -TN"
"@115714 if my iPhone X screen cracked should I come see you about getting my money back or @115858 Cause I ain’t paying mucho $$ for something that broke in four days | @619689 Hey Brain, once you have insurance on your account you can file a claim with Asurion to get your device fixed. -TN"
"My iPhone X is giving me some serious problems @115714 @115858 😡 | @619691 Hi! What issues are you experiencing with your new iPhone? Please, send us a DM to properly assist you. -LR. https://t.co/rMApsV8PQY"
"Thank you sprint for the great customer service #cutsprint #sprintcustomerservice #theywillhanguponyou @115714 @sprintcare #lousyiphonexupgrade https://t.co/P8Eu3t7Vn9 | @619699 Hello Bick! So sorry to hear that. Please, send us a Direct Message with the details of the issue. -CL https://t.co/rMApsV8PQY"
"@115714 is an iPhone 8 plus that I pay off fully unlocked? | @448785 Hi there! Please send us a Direct Message, so that we can further assist you with your question. - LV. https://t.co/rMApsV8PQY"
"@115714 obsessively checking my #iPhoneX shipment information, I’m literally too excited for words! #appleLover ❤️📱🍎 #SprintForLife 💛 #SprintCustomerForLife 💛💛💛 | @486714 We can feel your excitement! It's such a great phone, you'll love it. -KA"
"@115714 sucks. How y’all gonna offer the #iPhoneX at a cheaper cost to new customers ONLY. Smh | @619716 Hey there. We have an offer for existing customers. For a Limited Time, save $350 on the iPhone X with Sprint Flex and Eligible-trade-in -KW"
@115714 really disappointed me today. How are you gonna tell me I have iPhone forever then turn around and say I can’t upgrade till 2018? Like WTF | @619717 This is a common misconception. I will be happy to educate you further on our iPhone forever program. Please send us a DM lets converse. -CW
this iPhone X was a waste of money and time y’all service slow as fuck! I’m over it @115714 | @619719 This isn't something we like to hear from our customers . Please send us a DM so that we can investigate this issue for you. -CW
"@115714 @VerizonSupport if I have my own iPhone X, how much is the unlimited plan for a single line? | @290243 Unlimited is the way. At Sprint we charge $65 for our unlimited plan for one line or 60 once you o auto-pay. -MG"
"Takes up to half an hour to get back on LTE w/@115714 when I go to the bathroom, so of course @sprintcare suggests I don't bring my iPhone in there. Great advice to a radio host who would be in serious trouble if he were locked out during a broadcast. 100%, dummies. | @221523 Please send us a Direct Message, so that we can further assist you. - LS"
